suite	model	readout	gh_layers	gh_index_mode	gh_input_layernorm	max_length	num_queries	num_translation_candidates	top4_item_accuracy_mean	top4_all_same_source_rate	queries_with_all_4_same_source	source_artifact
medical_translation	Qwen/Qwen3-4B-Instruct-2507	rh	-	-	false	192	40	160	0.4500	0.1000	4	retrieval/scores/forvalue_translation_top4_all_english_rh.json
medical_translation	Qwen/Qwen3-4B-Instruct-2507	gh	all (1-35)	bottom	true	192	40	160	0.5188	0.1250	5	retrieval/scores/forvalue_translation_top4_all_english_gh_all.json
medical_translation	Qwen/Qwen3-4B-Instruct-2507	both	all (1-35)	bottom	true	192	40	160	0.5250	0.1500	6	retrieval/scores/forvalue_translation_top4_all_english_both_all.json
medical_translation	meta-llama/Llama-3.2-3B-Instruct	rh	-	-	false	192	40	160	0.5063	0.1250	5	retrieval/scores/forvalue_translation_top4_all_english_llama32_3b_rh.json
medical_translation	meta-llama/Llama-3.2-3B-Instruct	gh	all (1-27)	bottom	true	192	40	160	0.6687	0.3000	12	retrieval/scores/forvalue_translation_top4_all_english_llama32_3b_gh_all.json
medical_translation	meta-llama/Llama-3.2-3B-Instruct	both	all (1-27)	bottom	true	192	40	160	0.6250	0.2500	10	retrieval/scores/forvalue_translation_top4_all_english_llama32_3b_both_all.json
gsm8k_train_first50	Qwen/Qwen3-4B-Instruct-2507	rh	-	-	false	192	50	200	0.6750	0.3000	15	retrieval/scores/forvalue_gsm8k_train50_top4_qwen3_4b_rh.json
gsm8k_train_first50	Qwen/Qwen3-4B-Instruct-2507	gh	all (1-35)	bottom	true	192	50	200	0.7000	0.2800	14	retrieval/scores/forvalue_gsm8k_train50_top4_qwen3_4b_gh_all.json
gsm8k_train_first50	Qwen/Qwen3-4B-Instruct-2507	both	all (1-35)	bottom	true	192	50	200	0.7250	0.3200	16	retrieval/scores/forvalue_gsm8k_train50_top4_qwen3_4b_both_all.json
gsm8k_train_first50	meta-llama/Llama-3.2-3B-Instruct	gh	2	top	true	768	50	200	0.9150	0.7600	38	retrieval/scores/forvalue_gsm8k_train50_top4_llama32_3b_gh_layers_sweep.log
gsm8k_train_first50	meta-llama/Llama-3.2-3B-Instruct	gh	2-4	top	true	768	50	200	0.9000	0.7200	36	retrieval/scores/forvalue_gsm8k_train50_top4_llama32_3b_rh_gh.json
gsm8k_train_first50	meta-llama/Llama-3.2-3B-Instruct	gh	2-28	top	true	768	50	200	0.8950	0.7400	37	retrieval/scores/forvalue_gsm8k_train50_top4_llama32_3b_gh_layers_sweep.log
gsm8k_train_first50	meta-llama/Llama-3.2-3B-Instruct	both	all (1-27)	bottom	true	768	50	200	0.9300	0.7600	38	retrieval/scores/forvalue_gsm8k_train50_top4_llama32_3b_both_all.json
medical_translation	Qwen/Qwen2.5-1.5B-Instruct	rh	-	-	false	192	40	160	0.4875	0.1250	5	retrieval/scores/forvalue_translation_top4_all_english_qwen25_1p5b_instruct_rh.json
medical_translation	Qwen/Qwen2.5-1.5B-Instruct	both	all (1-27)	bottom	true	192	40	160	0.6250	0.2500	10	retrieval/scores/forvalue_translation_top4_all_english_qwen25_1p5b_instruct_both_all.json
gsm8k_train_first50	Qwen/Qwen2.5-1.5B-Instruct	rh	-	-	false	768	50	200	0.4450	0.0600	3	retrieval/scores/forvalue_gsm8k_train50_top4_qwen25_1p5b_instruct_rh.json
gsm8k_train_first50	Qwen/Qwen2.5-1.5B-Instruct	both	all (1-27)	bottom	true	768	50	200	0.6000	0.1400	7	retrieval/scores/forvalue_gsm8k_train50_top4_qwen25_1p5b_instruct_both_all.json
