run_id	model	selector	score_file	n	answer_correct	answer_accuracy	selection_correct	selection_accuracy	missing_final_marker	source_result
qwen25_1p5b	Qwen/Qwen2.5-1.5B-Instruct	rh	forvalue_gsm8k_train_first200_qwen25_1p5b_instruct_wrong_question_query_rh.json	62	37	0.5967741935483871	30	0.4838709677419355	14	gsm8k_memory_agent_top1_qwen25_1p5b_instruct_self_wrong_question_query_from_value_rh_gh_both_native_maxnew512.json
qwen25_1p5b	Qwen/Qwen2.5-1.5B-Instruct	gh	forvalue_gsm8k_train_first200_qwen25_1p5b_instruct_wrong_question_query_gh_all.json	62	35	0.5645161290322581	28	0.45161290322580644	11	gsm8k_memory_agent_top1_qwen25_1p5b_instruct_self_wrong_question_query_from_value_rh_gh_both_native_maxnew512.json
qwen25_1p5b	Qwen/Qwen2.5-1.5B-Instruct	both	forvalue_gsm8k_train_first200_qwen25_1p5b_instruct_wrong_question_query_both_all.json	62	37	0.5967741935483871	29	0.46774193548387094	15	gsm8k_memory_agent_top1_qwen25_1p5b_instruct_self_wrong_question_query_from_value_rh_gh_both_native_maxnew512.json
qwen25_1p5b	Qwen/Qwen2.5-1.5B-Instruct	native_last_embedding_mean	forvalue_gsm8k_train_first200_qwen25_1p5b_instruct_wrong_question_query_native_last_embedding_mean.json	62	33	0.532258064516129	21	0.3387096774193548	19	gsm8k_memory_agent_top1_qwen25_1p5b_instruct_self_wrong_question_query_from_value_rh_gh_both_native_maxnew512.json
qwen25_1p5b	Qwen/Qwen2.5-1.5B-Instruct	random_seed42	-	62	31	0.5	1	0.016129032258064516	17	gsm8k_memory_agent_top1_qwen25_1p5b_instruct_self_wrong_question_query_random_seed42_maxnew512.json
llama32_3b	meta-llama/Llama-3.2-3B-Instruct	rh	forvalue_gsm8k_train_first200_wrong_question_query_rh.json	36	32	0.8888888888888888	31	0.8611111111111112	0	gsm8k_memory_agent_top1_llama32_3b_instruct_self_wrong_question_query_from_value_rh_gh_both_native_maxnew512.json
llama32_3b	meta-llama/Llama-3.2-3B-Instruct	gh	forvalue_gsm8k_train_first200_wrong_question_query_gh_all.json	36	33	0.9166666666666666	35	0.9722222222222222	0	gsm8k_memory_agent_top1_llama32_3b_instruct_self_wrong_question_query_from_value_rh_gh_both_native_maxnew512.json
llama32_3b	meta-llama/Llama-3.2-3B-Instruct	both	forvalue_gsm8k_train_first200_wrong_question_query_both_all.json	36	34	0.9444444444444444	36	1.0	0	gsm8k_memory_agent_top1_llama32_3b_instruct_self_wrong_question_query_from_value_rh_gh_both_native_maxnew512.json
llama32_3b	meta-llama/Llama-3.2-3B-Instruct	native_last_embedding_mean	forvalue_gsm8k_train_first200_llama32_3b_instruct_wrong_question_query_native_last_embedding_mean.json	36	32	0.8888888888888888	31	0.8611111111111112	0	gsm8k_memory_agent_top1_llama32_3b_instruct_self_wrong_question_query_from_value_rh_gh_both_native_maxnew512.json
llama32_3b	meta-llama/Llama-3.2-3B-Instruct	random_seed42	-	36	14	0.3888888888888889	0	0.0	0	gsm8k_memory_agent_top1_llama32_3b_instruct_self_wrong_question_query_random_seed42_maxnew512.json
qwen3_1p7b	Qwen/Qwen3-1.7B	rh	forvalue_gsm8k_train_first200_qwen3_1p7b_wrong_question_query_rh.json	51	29	0.5686274509803921	22	0.43137254901960786	0	gsm8k_memory_agent_top1_qwen3_1p7b_self_wrong_question_query_from_value_rh_gh_both_native_maxnew512.json
qwen3_1p7b	Qwen/Qwen3-1.7B	gh	forvalue_gsm8k_train_first200_qwen3_1p7b_wrong_question_query_gh_all.json	51	26	0.5098039215686274	18	0.35294117647058826	1	gsm8k_memory_agent_top1_qwen3_1p7b_self_wrong_question_query_from_value_rh_gh_both_native_maxnew512.json
qwen3_1p7b	Qwen/Qwen3-1.7B	both	forvalue_gsm8k_train_first200_qwen3_1p7b_wrong_question_query_both_all.json	51	27	0.5294117647058824	18	0.35294117647058826	1	gsm8k_memory_agent_top1_qwen3_1p7b_self_wrong_question_query_from_value_rh_gh_both_native_maxnew512.json
qwen3_1p7b	Qwen/Qwen3-1.7B	native_last_embedding_mean	forvalue_gsm8k_train_first200_qwen3_1p7b_wrong_question_query_native_last_embedding_mean.json	51	18	0.35294117647058826	8	0.1568627450980392	0	gsm8k_memory_agent_top1_qwen3_1p7b_self_wrong_question_query_from_value_rh_gh_both_native_maxnew512.json
qwen3_1p7b	Qwen/Qwen3-1.7B	random_seed42	-	51	19	0.37254901960784315	0	0.0	1	gsm8k_memory_agent_top1_qwen3_1p7b_self_wrong_question_query_random_seed42_maxnew512.json
qwen3_4b	Qwen/Qwen3-4B-Instruct-2507	rh	forvalue_gsm8k_train_first400_qwen3_4b_instruct_2507_wrong_question_query_rh.json	34	25	0.7352941176470589	21	0.6176470588235294	0	gsm8k_memory_agent_top1_qwen3_4b_instruct_2507_first400_self_wrong_question_query_rh_gh2_both2_native_maxnew512.json
qwen3_4b	Qwen/Qwen3-4B-Instruct-2507	gh_top2_near_lmhead	forvalue_gsm8k_train_first400_qwen3_4b_instruct_2507_wrong_question_query_gh_top2_near_lmhead.json	34	22	0.6470588235294118	15	0.4411764705882353	0	gsm8k_memory_agent_top1_qwen3_4b_instruct_2507_first400_self_wrong_question_query_rh_gh2_both2_native_maxnew512.json
qwen3_4b	Qwen/Qwen3-4B-Instruct-2507	both_top2_near_lmhead	forvalue_gsm8k_train_first400_qwen3_4b_instruct_2507_wrong_question_query_both_top2_near_lmhead.json	34	22	0.6470588235294118	18	0.5294117647058824	0	gsm8k_memory_agent_top1_qwen3_4b_instruct_2507_first400_self_wrong_question_query_rh_gh2_both2_native_maxnew512.json
qwen3_4b	Qwen/Qwen3-4B-Instruct-2507	native_last_embedding_mean	forvalue_gsm8k_train_first400_qwen3_4b_instruct_2507_wrong_question_query_native_last_embedding_mean.json	34	20	0.5882352941176471	2	0.058823529411764705	1	gsm8k_memory_agent_top1_qwen3_4b_instruct_2507_first400_self_wrong_question_query_rh_gh2_both2_native_maxnew512.json
qwen3_4b	Qwen/Qwen3-4B-Instruct-2507	random_seed42	-	34	15	0.4411764705882353	1	0.029411764705882353	4	gsm8k_memory_agent_random_top1_qwen3_4b_instruct_2507_first400_self_wrong_seed42_maxnew512.json
